Result: _result
Table: keys: [_start, _stop, _field, _measurement, code, owner]
                   _start:time                      _stop:time           _field:string     _measurement:string             code:string            owner:string                      _time:time                  _value:float
2023-07-15T15:17:29.713773853Z  2023-10-23T15:17:29.713773853Z                       X                   co_8h                   BBMLA                  SMBrno  2023-08-06T02:29:16.000000000Z                     16.580812
2023-07-15T15:17:29.713773853Z  2023-10-23T15:17:29.713773853Z                       X                   co_8h                   BBMLA                  SMBrno  2023-08-06T03:29:16.000000000Z                     16.580812
2023-07-15T15:17:29.713773853Z  2023-10-23T15:17:29.713773853Z                       X                   co_8h                   BBMLA                  SMBrno  2023-08-06T05:29:17.000000000Z                     16.580812
2023-07-15T15:17:29.713773853Z  2023-10-23T15:17:29.713773853Z                       X                   co_8h                   BBMLA                  SMBrno  2023-08-06T06:29:17.000000000Z                     16.580812
2023-07-15T15:17:29.713773853Z  2023-10-23T15:17:29.713773853Z                       X                   co_8h                   BBMLA                  SMBrno  2023-08-06T07:29:17.000000000Z                     16.580812
2023-07-15T15:17:29.713773853Z  2023-10-23T15:17:29.713773853Z                       X                   co_8h                   BBMLA                  SMBrno  2023-08-06T08:29:17.000000000Z                     16.580812
2023-07-15T15:17:29.713773853Z  2023-10-23T15:17:29.713773853Z                       X                   co_8h                   BBMLA                  SMBrno  2023-08-06T09:29:17.000000000Z                     16.580812
2023-07-15T15:17:29.713773853Z  2023-10-23T15:17:29.713773853Z                       X                   co_8h                   BBMLA                  SMBrno  2023-08-06T10:29:17.000000000Z                     16.580812
2023-07-15T15:17:29.713773853Z  2023-10-23T15:17:29.713773853Z                       X                   co_8h                   BBMLA                  SMBrno  2023-08-06T11:29:17.000000000Z                     16.580812
2023-07-15T15:17:29.713773853Z  2023-10-23T15:17:29.713773853Z                       X                   co_8h                   BBMLA                  SMBrno  2023-08-06T12:29:17.000000000Z                     16.580812
2023-07-15T15:17:29.713773853Z  2023-10-23T15:17:29.713773853Z                       X                   co_8h                   BBMLA                  SMBrno  2023-08-06T14:29:17.000000000Z                     16.580812
2023-07-15T15:17:29.713773853Z  2023-10-23T15:17:29.713773853Z                       X                   co_8h                   BBMLA                  SMBrno  2023-08-06T15:29:18.000000000Z                     16.580812
