X,Y,isinactive,lng,laststopid,vtype,bearing,globalid,lineid,ltype,routeid,delay,course,linename,lf,id,lastupdate,lat,finalstopid,objectid
16.745031,49.317413,false,16.745031,12221,4,0,{875162B0-D2A7-4C1D-A897-C4A769520B91},201,4,65,1,20101,201,true,21915,2023/09/29 16:54:49.291+00,49.317413,12317,2988183565
16.555677,49.586365,false,16.555677,12740,4,45,{C7F7990C-CC66-417F-8A1C-2A10053A2486},272,4,23,2,27102,272,true,21467,2023/09/29 16:54:49.291+00,49.586365,12919,2988183566
16.624414,49.2337,false,16.624414,1132,2,270,{FF9EE4C8-FC76-405F-86F7-92567BBC8DA3},57,2,5201,0,05711,57,true,7047,2023/09/29 16:54:49.291+00,49.2337,1477,2988183567
16.633804,49.190472,false,16.633804,1814,2,180,{4EF5914D-F5D2-4A47-BC37-3614BB2E7FB8},64,2,1097,4,06405,64,true,7008,2023/09/29 16:54:49.291+00,49.190472,1182,2988183568
17.467541,48.90789,false,17.467541,19412,4,270,{EE849DB0-E716-4810-8F9F-9EC6FF15DBF8},930,4,32,1,91103,930,true,21507,2023/09/29 16:54:49.291+00,48.90789,19316,2988183569
16.593416,49.199486,false,16.593416,1055,1,180,{B986649F-F186-4642-8366-86AE88E36428},25,1,5150,0,02509,25,true,3627,2023/09/29 16:54:49.291+00,49.199486,1472,2988183570
16.546272,49.002331,false,16.546272,15321,4,180,{D6F944B0-6300-4F64-BC67-84E1D443BFDB},504,4,111,0,50403,504,true,22025,2023/09/29 16:54:49.291+00,49.002331,15317,2988183571
16.397623,48.719997,false,16.397623,15838,4,270,{C7596068-3A73-457C-8CDE-07CA2723BF10},104,4,28,6,10404,104,true,21363,2023/09/29 16:54:49.292+00,48.719997,15317,2988183572
16.594694,49.187206,false,16.594694,1430,0,315,{10713C42-11E8-4947-A63E-511102F528B3},6,0,5216,0,00604,6,true,1944,2023/09/29 16:54:49.292+00,49.187206,1286,2988183573
16.593294,49.228027,false,16.593294,1683,2,90,{8A001707-5818-477A-B59E-9A4AF36B4381},41,2,5040,0,04110,41,true,7693,2023/09/29 16:54:49.292+00,49.228027,1286,2988183574
16.685848,49.209816,false,16.685848,1208,0,270,{FBE664BA-8F5B-4756-80AB-692F76822BAA},8,0,5229,0,00824,8,true,1734,2023/09/29 16:54:49.293+00,49.209816,1429,2988183575
16.614283,49.191887,false,16.614283,1146,2,135,{0832AAF6-0057-4F5C-87D5-4009DF62CC55},67,2,5113,1,06711,67,true,7015,2023/09/29 16:54:49.293+00,49.191887,7524,2988183576
16.558163,49.210728,false,16.558163,1214,2,225,{3BB6C6EE-0F8C-4715-A63C-E1F7ADC34CDE},44,2,5171,1,04401,44,true,2628,2023/09/29 16:54:49.293+00,49.210728,1696,2988183577
16.604647,49.233959,false,16.604647,1130,2,135,{8F9A5886-42D0-4C15-8F93-C128AEAFE456},43,2,5098,1,04302,43,true,7712,2023/09/29 16:54:49.293+00,49.233959,1286,2988183578
16.632956,49.45417,false,16.632956,12510,4,0,{E95CAC11-175D-4798-A65C-E5FDA2C6501F},234,4,104,3,23402,234,true,21201,2023/09/29 16:54:49.299+00,49.45417,12633,2988183579
16.594841,49.182495,false,16.594841,1053,0,0,{074548DB-6CB5-4C00-8205-AD8F6ADC3B21},8,0,5220,0,00810,8,true,1733,2023/09/29 16:54:49.299+00,49.182495,1384,2988183580
16.614584,49.193481,false,16.614584,1146,2,180,{9B87373F-E533-495B-BA56-C1A5F184A6C4},76,2,1056,0,07603,E76,true,2743,2023/09/29 16:54:49.299+00,49.193481,1337,2988183581
16.694214,49.202744,false,16.694214,1406,2,0,{23FA79B3-3C57-4BED-8CD9-7E96703671CF},78,2,1104,1,07804,78,true,2668,2023/09/29 16:54:49.300+00,49.202744,1809,2988183582
16.635857,49.192848,false,16.635857,1810,0,270,{95448A02-DF6F-41C2-B2AA-A301A03DACB7},8,0,5227,1,00822,8,true,1763,2023/09/29 16:54:49.299+00,49.192848,1429,2988183583
