#group,false,false,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,double,string,string,string,string
#default,_result,,,,,,,
,result,table,_time,_value,_field,_measurement,code,owner
,,0,2023-08-10T03:31:15Z,266,value,co_8h,BBMLA,SMBrno
,,0,2023-08-10T04:31:15Z,262,value,co_8h,BBMLA,SMBrno
,,0,2023-08-10T06:31:15Z,262,value,co_8h,BBMLA,SMBrno
,,0,2023-08-10T07:31:16Z,248,value,co_8h,BBMLA,SMBrno
,,0,2023-08-10T08:31:16Z,248,value,co_8h,BBMLA,SMBrno
,,0,2023-08-10T09:31:15Z,248,value,co_8h,BBMLA,SMBrno
,,0,2023-08-10T10:31:16Z,262,value,co_8h,BBMLA,SMBrno
,,0,2023-08-10T12:31:15Z,277,value,co_8h,BBMLA,SMBrno
,,0,2023-08-10T13:31:16Z,262,value,co_8h,BBMLA,SMBrno
,,0,2023-08-10T15:31:15Z,250,value,co_8h,BBMLA,SMBrno
,,0,2023-08-10T16:31:16Z,218,value,co_8h,BBMLA,SMBrno
,,0,2023-08-10T17:31:16Z,200,value,co_8h,BBMLA,SMBrno
,,0,2023-08-10T18:31:15Z,166,value,co_8h,BBMLA,SMBrno
,,0,2023-08-10T19:31:16Z,133,value,co_8h,BBMLA,SMBrno
,,0,2023-08-10T21:31:17Z,166,value,co_8h,BBMLA,SMBrno
,,0,2023-08-10T22:31:29Z,175,value,co_8h,BBMLA,SMBrno
,,0,2023-08-11T00:31:29Z,266,value,co_8h,BBMLA,SMBrno
,,0,2023-08-11T01:31:29Z,306,value,co_8h,BBMLA,SMBrno
,,0,2023-08-11T03:31:30Z,306,value,co_8h,BBMLA,SMBrno
,,0,2023-08-11T04:31:30Z,316,value,co_8h,BBMLA,SMBrno
,,0,2023-08-11T05:31:30Z,291,value,co_8h,BBMLA,SMBrno
,,0,2023-08-11T06:31:30Z,277,value,co_8h,BBMLA,SMBrno
,,0,2023-08-11T07:31:30Z,266,value,co_8h,BBMLA,SMBrno
,,0,2023-08-11T08:31:30Z,248,value,co_8h,BBMLA,SMBrno
,,0,2023-08-11T09:31:30Z,233,value,co_8h,BBMLA,SMBrno
,,0,2023-08-11T10:31:30Z,233,value,co_8h,BBMLA,SMBrno
,,0,2023-08-11T12:31:30Z,204,value,co_8h,BBMLA,SMBrno
,,0,2023-08-11T13:31:30Z,200,value,co_8h,BBMLA,SMBrno
,,0,2023-08-11T15:31:31Z,160,value,co_8h,BBMLA,SMBrno
,,0,2023-08-11T16:31:30Z,150,value,co_8h,BBMLA,SMBrno
,,0,2023-08-11T17:31:30Z,136,value,co_8h,BBMLA,SMBrno
,,0,2023-08-11T18:31:31Z,116,value,co_8h,BBMLA,SMBrno
,,0,2023-08-11T19:31:30Z,116,value,co_8h,BBMLA,SMBrno
,,0,2023-08-11T20:31:30Z,116,value,co_8h,BBMLA,SMBrno
,,0,2023-08-11T21:31:31Z,133,value,co_8h,BBMLA,SMBrno
,,0,2023-08-11T22:31:30Z,189,value,co_8h,BBMLA,SMBrno
,,0,2023-08-12T00:31:39Z,233,value,co_8h,BBMLA,SMBrno
,,0,2023-08-12T01:31:39Z,266,value,co_8h,BBMLA,SMBrno
,,0,2023-08-12T02:31:39Z,283,value,co_8h,BBMLA,SMBrno
,,0,2023-08-12T03:31:39Z,300,value,co_8h,BBMLA,SMBrno
,,0,2023-08-12T04:31:40Z,306,value,co_8h,BBMLA,SMBrno
,,0,2023-08-12T06:31:39Z,300,value,co_8h,BBMLA,SMBrno
,,0,2023-08-12T07:31:40Z,277,value,co_8h,BBMLA,SMBrno
